@relation carac2008

@attribute Id numeric
@attribute MEANN1 numeric
@attribute DVEST1 numeric
@attribute MIN1 numeric
@attribute MAX1 numeric
@attribute MEANN2 numeric
@attribute DVEST2 numeric
@attribute MIN2 numeric
@attribute MAX2 numeric
@attribute MEANN3 numeric
@attribute DVEST3 numeric
@attribute MIN3 numeric
@attribute MAX3 numeric
@attribute MEANN4 numeric
@attribute DVEST4 numeric
@attribute MIN4 numeric
@attribute MAX4 numeric
@attribute MEANNNDVI numeric
@attribute DVESTNDVI numeric
@attribute MINNDVI numeric
@attribute MAXNDVI numeric
@attribute MEANN_EDG numeric
@attribute DVEST_EDG numeric
@attribute UNIFOR numeric
@attribute ENTROP numeric
@attribute CONTRAS numeric
@attribute IDM numeric
@attribute COVAR numeric
@attribute VARIAN numeric
@attribute CORRELAC numeric
@attribute SKEWNESS numeric
@attribute KURTOSIS numeric
@attribute RVF numeric
@attribute RSF numeric
@attribute FDO numeric
@attribute FML numeric
@attribute MFM numeric
@attribute VFM numeric
@attribute RMM numeric
@attribute DMM numeric
@attribute COMPACT numeric
@attribute SH_INDEX numeric
@attribute FRACTAL numeric
@attribute AREA numeric
@attribute PERIMETER numeric
@attribute 2008_cn {arable,casco,citricos,citricosj,cultivado,edificacion,ensanche,industrial,adosado,unifamiliar,yermo}


@data
407,183.90523,17.885645,17.1705,202.989,170.89152,20.549575,21.5063,184.865,147.88621,20.471059,3.53884,165.252,0.43516109,0.722964,-0.185232,5.65354,0.038939471,0.030651578,-0.21442251,0.53567786,2.67214,5.82938,0.20826978,1.1379631,5.2040376,0.7872363,19.969934,22.571953,0.88472336,-4.5844419,22.288335,5.7763697,1.5186678,28.723908,12,146.65325,0.29943035,1.3062398,4,0.74053307,1.029847,1.0073153,3104.9036,229.53915,arable 
464,172.47458,9.322705,64.4262,217.406,149.99517,12.864382,40.9367,199.258,123.85001,10.531511,24.5304,183.911,0.240477,0.17432608,-0.381392,8.0619,0.071317648,0.031169736,0.012870689,0.50955322,2.18858,4.50557,0.13743479,1.1721871,2.5075166,0.79356674,7.9958433,9.2496016,0.86445273,-4.6258107,24.99082,3.4126176,1.3155277,8.0358858,14,42.383103,0.042842599,1.125227,6,0.73132969,1.0363068,1.0074544,14304.24,495.77055,arable 
495,169.5083,6.7284723,137.312,203.79,148.96171,8.6771723,117.219,190.623,124.94187,9.16713,92.1699,169.916,0.028290776,0.020420297,-0.0693502,0.182944,0.064945272,0.014337061,0.006257814,0.11412264,3.05043,1.75136,0.041866119,1.5876475,1.4998919,0.63348774,3.6825999,4.4325459,0.83080921,0.53527411,1.418843,3.5561666,1.4310915,5.4880778,19,34.162654,0.21788368,1.241446,0,0.73804778,1.0315795,1.0074781,4085.6084,263.74915,arable 
514,169.11872,9.5764772,48.4073,201.388,151.90633,10.623434,48.8528,190.623,117.7521,9.6411247,28.4177,178.469,0.30146252,0.60250439,-0.432657,3.73486,0.054131161,0.014107005,-0.004580144,0.21631744,3.07642,4.08861,0.10887119,1.3527486,3.4050466,0.71128151,4.5490703,6.2515936,0.72766571,-3.2233605,14.287583,2.7168494,1.4186846,14.132956,6,57.504642,0.10107319,1.2130939,7,0.50922012,1.2419158,1.0536752,3206.1497,281.28337,arable 
594,175.48541,5.8011305,135.71,194.179,153.43175,8.8816763,111.462,178.389,135.5557,7.8865387,92.1699,157.477,0.10719084,0.18300128,-0.50247,4.28939,0.067584998,0.014645365,0.017849025,0.11534913,1.77808,1.7761,0.10453204,1.2849346,0.8181855,0.77844785,4.4364617,4.8455544,0.91557359,0.50043187,1.4893085,5.423282,1.3970268,2.4636718,18,18.735503,0.3764869,1.3798358,0,0.58913599,1.1546149,1.039089,1565.3735,182.72844,arable 
637,182.15315,10.20769,97.2649,202.189,165.63682,14.216918,63.9653,174.79,129.33142,10.428011,45.522,153.59,0.07795854,0.091852182,-0.108988,0.646755,0.04897701,0.024319057,0.016084972,0.31563475,1.72485,3.29368,0.2353098,0.9797427,2.0224329,0.82816419,11.051168,12.062384,0.91616778,-4.1595463,18.356354,6.6482615,1.4914681,7.702686,13,41.504801,0.27230554,1.1950115,7,0.67878591,1.0756687,1.0188094,2335.4688,207.93403,arable 
702,169.95276,3.3109348,135.71,208.596,152.99168,4.1072955,100.667,187.744,119.68937,3.2139678,86.7277,173.026,0.061676445,0.078619008,-0.29488,1.28273,0.052603763,0.011423956,0.023535072,0.14825074,1.05368,1.24881,0.22907587,0.86170523,0.39020545,0.8605943,0.85111011,1.0462128,0.81351526,-2.1831553,13.207063,4.3647845,1.2987223,0.75025026,20,6.5834585,0.22251445,1.2561059,0,0.61415465,1.1308528,1.031292,2590.6069,230.2326,arable 
705,185.20836,12.295122,19.5733,198.985,176.98845,13.019262,21.5063,187.024,154.71383,12.95491,3.53884,166.029,0.084997299,0.17437498,-0.182838,5.71964,0.023208617,0.012849366,-0.080502044,0.34755021,1.59462,3.7634,0.36655648,0.81475981,1.9031178,0.85616658,7.5740387,8.5255976,0.88838801,-8.4232587,81.717753,6.7167865,1.4024374,9.0573762,12,62.488213,0.42149595,1.4991968,6,0.49591063,1.2584711,1.0569417,3212.6035,285.31972,arable 
740,157.65056,21.528876,33.1894,218.207,131.90722,22.332818,21.5063,190.623,105.28135,21.23696,3.53884,169.139,0.10475852,0.14706315,-0.24365,2.14618,0.092142674,0.040597502,-0.10060495,0.58632169,8.13216,7.07464,0.022342765,2.1551202,11.803576,0.45437851,23.828874,29.730662,0.80149153,-1.4997588,2.9823037,3.0986834,1.565576,84.5973,6,303.17272,0.20879288,1.3037712,5,0.80299351,0.98898323,0.99731813,3871.2288,246.13498,arable 
758,174.93542,6.6759836,94.0611,191.776,154.09165,8.4545632,51.0117,174.79,126.35031,7.2562318,50.9642,150.48,0.025997005,0.027153863,-0.136163,0.267519,0.063852067,0.020310644,0.020519308,0.4803559,2.15326,3.49527,0.1447433,1.1234401,2.0523296,0.76724426,2.9895492,4.015714,0.74446268,-5.7430512,45.843251,2.2722812,1.1749651,3.431783,5,23.434799,0.00991839,1.0965962,5,0.44449151,1.32927,1.0772701,1583.1001,211.557,arable 
